timestamp,model,pretrained_weights,optimizer,learning_rate,batch_size,num_epochs,weight_decay,dropout,scheduler,data_augmentation,training_time_s,min_val_loss,coresponding_val_acc
1774088363,densenet121,IMAGENET1K_V1,SGD,0.01,32,40,0.0001,0.0,,standard,12889.72,0.49554,0.82731
1774170091,densenet121,IMAGENET1K_V1,SGD,0.01,64,40,0.0001,0.0,,standard,11453.29,0.439556,0.857944
1774184519,densenet121,IMAGENET1K_V1,SGD,0.01,32,40,0.0001,0.0,,cutmix,13559.34,0.801922,0.737905
1774198466,densenet121,IMAGENET1K_V1,SGD,0.01,32,40,0.0001,0.0,,none,13029.42,0.664141,0.793587
1774263404,densenet121,IMAGENET1K_V1,SGD,0.01,32,15,0.0001,0.3,,standard,5112.25,0.601809,0.791765
1774277317,densenet121,IMAGENET1K_V1,SGD,0.01,32,15,0.001,0.0,,standard,4989.31,0.693177,0.756423
1774277499,densenet121,IMAGENET1K_V1,SGD,0.01,32,15,0.01,0.0,,standard,4992.19,1.316977,0.533462
1774282981,ghostnetv3,IMAGENET1K_V1,SGD,0.01,64,15,0.0001,0.0,,standard,4073.17,1.330024,0.674053
1774282694,densenet121,IMAGENET1K_V1,SGD,0.001,32,15,0.0001,0.0,,standard,5120.51,0.428635,0.859479
1774290736,ghostnetv3,IMAGENET1K_V1,SGD,0.01,32,15,0.0001,0.0,,standard,6794.27,1.3185,0.687391
1774290980,ghostnetv3,IMAGENET1K_V1,SGD,0.1,32,15,0.0001,0.0,,standard,6622.81,1.746703,0.564993
1774346659,ghostnetv3,IMAGENET1K_V1,SGD,0.01,32,15,0.0001,0.3,,standard,6359.54,1.3185,0.687391
1774346869,ghostnetv3,IMAGENET1K_V1,SGD,0.01,32,15,0.0001,0.5,,standard,6720.09,1.3185,0.687391
1774365812,ghostnetv3,IMAGENET1K_V1,SGD,0.01,32,15,0.001,0.0,,standard,6360.74,1.520907,0.622324
1774366103,ghostnetv3,IMAGENET1K_V1,SGD,0.01,32,15,0.01,0.0,,standard,6588.79,2.112548,0.388887
1774522111,ghostnetv3,IMAGENET1K_V1,SGD,0.01,32,15,0.0001,0.0,,none,5866.17,1.36542,0.665437
1774626225,ghostnetv3,IMAGENET1K_V1,SGD,0.01,32,15,0.0001,0.0,,cutmix,6130.98,0.976123,0.682948
1774626072,ghostnetv3,IMAGENET1K_V1,SGD,0.001,32,15,0.0001,0.0,,standard,6542.37,1.266997,0.695468
1774634170,four_block,none,SGD,0.01,32,15,0.0001,0.0,,standard,1531.72,0.826696,0.706013
1774636519,four_block,none,SGD,0.1,32,15,0.0001,0.0,,standard,1969.24,1.143259,0.593691
1774634366,densenet121,IMAGENET1K_V1,SGD,0.01,32,15,0.0001,0.0,CosineAnnealingLR,standard,4898.29,0.47419,0.845498
1774639867,resnet18,IMAGENET1K_V1,SGD,0.01,32,15,0.0001,0.0,CosineAnnealingLR,standard,2330.3,0.498075,0.841252
1774639984,four_block,none,SGD,0.01,32,15,0.001,0.0,,standard,2317.97,0.965301,0.662461
1774642487,four_block,none,SGD,0.001,32,15,0.0001,0.0,,standard,2158.29,0.783205,0.722077
1774642813,four_block,none,SGD,0.01,64,15,0.0001,0.0,,standard,2018.85,0.773329,0.725178
1774684751,four_block,none,SGD,0.1,128,15,0.0001,0.0,,standard,1781.34,0.873897,0.686619
1774684806,four_block,none,SGD,0.01,32,15,0.0001,0.3,,standard,2357.79,0.854288,0.693804
1774687155,four_block,none,SGD,0.01,32,15,0.01,0.0,,standard,2003.89,1.635199,0.367832
1774687840,four_block,none,SGD,0.01,32,15,0.0001,0.5,,standard,2115.51,1.012468,0.633684
1774689437,four_block,none,SGD,0.01,32,15,0.0001,0.0,,cutmix,2406.22,0.980295,0.683842
1774690395,four_block,none,SGD,0.01,32,15,0.0001,0.0,,none,1532.74,0.937957,0.669836
1774111011,densenet121,IMAGENET1K_V1,SGD,0.01,128,40,0.0001,0.0,,standard,11749.9,0.470348,0.842826
1774112664,densenet121,IMAGENET1K_V1,SGD,0.1,32,40,0.0001,0.0,,standard,12972.62,0.912586,0.676901
1774207923,ghostnetv3,IMAGENET1K_V1,SGD,0.01,128,40,0.0001,0.0,,standard,7591.8,1.336242,0.669875
1773854727,resnet18,IMAGENET1K_V1,SGD,0.01,32,40,0.0001,0.0,,standard,5046.79,0.540966,0.817447
1773860089,resnet18,IMAGENET1K_V1,SGD,0.01,64,40,0.0001,0.0,,standard,5147.42,0.535966,0.823109
1773951309,resnet18,IMAGENET1K_V1,SGD,0.1,32,40,0.0001,0.0,,standard,4597.51,0.95553,0.665803
1773956425,resnet18,IMAGENET1K_V1,SGD,0.001,32,40,0.0001,0.0,,standard,4560.68,0.517771,0.824956
1774127730,resnet18,IMAGENET1K_V1,SGD,0.01,32,40,0.0001,0.5,,standard,5190.8,0.548462,0.816306
1774215986,resnet18,IMAGENET1K_V1,SGD,0.01,32,40,0.01,0.0,,standard,5469.76,1.418018,0.489025
1774114136,resnet18,IMAGENET1K_V1,SGD,0.01,128,40,0.0001,0.0,,standard,4597.16,0.534513,0.814496
1774123761,resnet18,IMAGENET1K_V1,SGD,0.01,32,40,0.0001,0.3,,standard,4545.52,0.546401,0.816593
1774208490,resnet18,IMAGENET1K_V1,SGD,0.01,32,40,0.001,0.0,,standard,5248.91,0.697972,0.755282
1774296348,resnet18,IMAGENET1K_V1,SGD,0.01,32,15,0.0001,0.0,,cutmix,2315.73,0.640767,0.79923
1773612545,resnet18,IMAGENET1K_V1,SGD,0.01,32,15,0.0001,0.0,,none,,0.706794,0.753061
